bori_id,sans
01001000,नारायणं नमस्कृत्य नरं चैव नरोत्तमम्। देवीं सरस्वतीं चैव ततो जयमुदीरयेत्।
01001001,लोमहर्षणपुत्र उग्रश्रवाः सूतः पौराणिको नैमिषारण्ये शौनकस्य कुलपतेर्द्वादशवार्षिके सत्रे।
01001002,समासीनानभ्यगच्छद्ब्रह्मर्षीन्संशितव्रतान्। विनयावनतो भूत्वा कदाचित्सूतनन्दनः।
01001003,तमाश्रममनुप्राप्तं नैमिषारण्यवासिनः। चित्राः श्रोतुं कथास्तत्र परिवव्रुस्तपस्विनः।
01001004,अभिवाद्य मुनींस्तांस्तु सर्वानेव कृताञ्जलिः। अपृच्छत्स तपोवृद्धिं सद्भिश्चैवाभिनन्दितः।
01001005,अथ तेषूपविष्टेषु सर्वेष्वेव तपस्विषु। निर्दिष्टमासनं भेजे विनयाल्लोमहर्षणिः।
01001006,सुखासीनं ततस्तं तु विश्रान्तमुपलक्ष्य च। अथापृच्छदृषिस्तत्र कश्चित्प्रस्तावयन्कथाः।
01001007,कुत आगम्यते सौते क्व चायं विहृतस्त्वया। कालः कमलपत्राक्ष शंसैतत्पृच्छतो मम।
01001008h,सूत उवाच। जनमेजयस्य राजर्षेः सर्पसत्रे महात्मनः। समीपे पार्थिवेन्द्रस्य सम्यक्पारिक्षितस्य च।
01001009,कृष्णद्वैपायनप्रोक्ताः सुपुण्या विविधाः कथाः। कथिताश्चापि विधिवद्या वैशंपायनेन वै।
01001010,श्रुत्वाहं ता विचित्रार्था महाभारतसंश्रिताः। बहूनि संपरिक्रम्य तीर्थान्यायतनानि च।
01001011,समन्तपञ्चकं नाम पुण्यं द्विजनिषेवितम्। गतवानस्मि तं देशं युद्धं यत्राभवत्पुरा। पाण्डवानां कुरूणां च सर्वेषां च महीक्षिताम्।
01001012,दिदृक्षुरागतस्तस्मात्समीपं भवतामिह। आयुष्मन्तः सर्व एव ब्रह्मभूता हि मे मताः।
01001013,अस्मिन्यज्ञे महाभागाः सूर्यपावकवर्चसः। कृताभिषेकाः शुचयः कृतजप्या हुताग्नयः। भवन्त आसते स्वस्था ब्रवीमि किमहं द्विजाः।
01001014,पुराणसंश्रिताः पुण्याः कथा वा धर्मसंश्रिताः। इतिवृत्तं नरेन्द्राणामृषीणां च महात्मनाम्।
01001015h,ऋषय ऊचुः। द्वैपायनेन यत्प्रोक्तं पुराणं परमर्षिणा। सुरैर्ब्रह्मर्षिभिश्चैव श्रुत्वा यदभिपूजितम्।
